"交通調査基本区間番号","世代管理番号（十の位）","世代管理番号（一の位）","道路種別","路線／路線番号","路線／路線名","起点側／接続区分","起点側／接続路線等／交通調査基本区間番号","起点側／接続路線等／世代管理番号（十の位）","起点側／接続路線等／路線名等","起点側／備考","終点側／接続区分","終点側／接続路線等／交通調査基本区間番号","終点側／接続路線等／世代管理番号（十の位）","終点側／接続路線等／路線名等","終点側／備考","現道旧道区分","管理区分","市区町村コード","自動車専用道路の別","区間種別","分離区間／分離区分","分離区間／交通調査基本区間番号","区間延長（ｋｍ）","高規格道路の別","一般国道指定区間","一方通行フラグ","平成２２年度／交通調査基本区間番号","交通量調査単位区間番号／都道府県指定市コード","交通量調査単位区間番号／調査単位区間番号","観測地点交通調査基本区間番号","交通量観測地点地名／市郡区町村丁字目","平成２７年度調査交通量観測・非観測の別","個別調査観測値活用の別","１２・２４時間観測の別","交通量観測年月日","昼間１２時間自動車類交通量（上下合計）／小型車（台）","昼間１２時間自動車類交通量（上下合計）／大型車（台）","昼間１２時間自動車類交通量（上下合計）／合計（台）","２４時間自動車類交通量（上下合計）／小型車（台）","２４時間自動車類交通量（上下合計）／大型車（台）","２４時間自動車類交通量（上下合計）／合計（台）","昼夜率","昼間１２時間ピーク比率（％）","昼間１２時間大型車混入率（％）","混雑度","平成２２年度／交通量調査／都道府県指定市コード","平成２２年度／交通量調査／調査単位区間番号","平成２２年度／昼間１２時間自動車類交通量（台）","平成２２年度／２４時間自動車類交通量（台）","旅行速度調査単位区間番号／都道府県指定市コード","旅行速度調査単位区間番号／調査単位区間番号","混雑時／上り／旅行速度計測・非計測の別","混雑時／上り／旅行速度（ｋｍ／ｈ）","混雑時／下り／旅行速度計測・非計測の別","混雑時／下り／旅行速度（ｋｍ／ｈ）","昼間非混雑時／上り／旅行速度計測・非計測の別","昼間非混雑時／上り／旅行速度（ｋｍ／ｈ）","昼間非混雑時／下り／旅行速度計測・非計測の別","昼間非混雑時／下り／旅行速度（ｋｍ／ｈ）","昼間１２時間平均旅行速度（時間帯別交通量加重）／上り（ｋｍ／ｈ）","昼間１２時間平均旅行速度（時間帯別交通量加重）／下り（ｋｍ／ｈ）","平成２２年度／旅行速度調査／都道府県指定市コード","平成２２年度／旅行速度調査／調査単位区間番号","平成２２年度／旅行速度／混雑時／上り（ｋｍ／ｈ）","平成２２年度／旅行速度／混雑時／下り（ｋｍ／ｈ）","平成２２年度／旅行速度／昼間非混雑時／上り（ｋｍ／ｈ）","平成２２年度／旅行速度／昼間非混雑時／下り（ｋｍ／ｈ）","道路状況調査単位区間番号／都道府県指定市コード","道路状況調査単位区間番号／調査単位区間番号","区間延長／改良済み区間率（％）","区間延長／５．５ｍ以上改良済み区間率（％）","幅員構成／道路部幅員（ｍ）","幅員構成／車道部幅員（ｍ）","幅員構成／車道幅員（ｍ）","幅員構成／中央帯幅員（ｍ）","幅員構成／歩道幅員／上り（ｍ）","幅員構成／歩道幅員／下り（ｍ）","幅員構成／自転車道幅員／上り（ｍ）","幅員構成／自転車道幅員／下り（ｍ）","幅員構成／停車帯等幅員／上り（ｍ）","幅員構成／停車帯等幅員／下り（ｍ）","車線数","交通安全施設等／歩道設置率（％）","交通安全施設等／自転車歩行者道設置率（％）","交通安全施設等／自転車道設置率（％）","交通安全施設等／自転車レーン設置率（％）","交通安全施設等／両側歩道設置率（％）","交通安全施設等／両側自転車歩行者道設置率（％）","交通安全施設等／両側自転車道設置率（％）","交通安全施設等／両側自転車レーン設置率（％）","交通安全施設等／歩道代表幅員（ｍ）","交通安全施設等／自転車道代表幅員（ｍ）","バス路線／バス路線延長率（％）","バス路線／バス優先・専用レーンの有無","交差点密度／信号交差点（箇所／ｋｍ）","交差点密度／信号のない交差点（箇所／ｋｍ）","代表信号交差点／青時間比（％）","代表信号交差点／右折専用車線の有無等","鉄道との平面交差箇所の有無","指定最高速度（ｋｍ／ｈ）","付加車線及び登坂車線設置箇所の有無／上り","付加車線及び登坂車線設置箇所の有無／下り","代表沿道状況","中央分離帯／中央分離帯の種類","中央分離帯／中央分離帯の設置状況","軌道の有無","自転車通行可能区分","異常気象時等通行規制区分","リバーシブルレーン運用の有無","アクセスコントロール","平成２２年度／道路状況調査／都道府県指定市コード","平成２２年度／道路状況調査／調査単位区間番号","交通調査基本区間番号","世代管理番号（十の位）","世代管理番号（一の位）","道路種別","路線／路線番号","路線／路線名"
"17110800100","0","0",1,1080,"北陸自動車道",1,"17400250270","0","主要地方道金沢美川小松線","小松IC",6,"","","小松市・加賀市境","",1,4,17203,1,0,0,"","6.9",1,0,0,"17110800100",17000,60,"17110800100","小松IC～安宅SIC",1,0,2,20151008,15883,5042,20925,19072,10347,29419,"1.41","9.5","24.1",".45",17000,70,18584,24810,17000,80,1,"94.9",1,"96.0",1,"97.1",1,"96.9","96.3","96.6",17000,70,78.8,81.5,82.6,87.1,17000,90,100.0,100.0,24.50,24.50,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,100,2,2,4,3,1,4,2,2,2,1,17000,100,"17110800100","0","0",1,1080,"北陸自動車道"
"17110800110","0","0",1,1080,"北陸自動車道",6,"","","小松市・加賀市境","",1,"17400200030","0","主要地方道小松加賀線","片山津IC",1,4,17206,1,0,0,"","1.7",1,0,0,"17110800110",17000,70,"17110800110","安宅SIC～片山津IC",1,0,2,20151008,16247,5095,21342,19494,10412,29906,"1.40","9.5","23.9",".45",17000,80,18947,25196,17000,90,1,"94.5",1,"94.7",1,"95.6",1,"96.6","95.2","96.0",17000,80,79.5,81.8,83.2,85.8,17000,100,100.0,100.0,24.50,24.50,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,100,2,2,4,3,1,4,2,2,2,1,17000,110,"17110800110","0","0",1,1080,"北陸自動車道"
"17110800120","0","0",1,1080,"北陸自動車道",1,"17400200030","0","主要地方道小松加賀線","片山津IC",1,"17400610020","0","主要地方道加賀インター線","加賀IC",1,4,17206,1,0,0,"","12.5",1,0,0,"17110800120",17000,80,"17110800120","主要地方道小松加賀線片山津IC～主要地方道加賀インター線加賀IC",1,0,2,20151008,14328,4990,19318,17270,10307,27577,"1.43","9.6","25.8",".43",17000,90,17161,24084,17000,100,1,"94.4",1,"94.3",1,"94.2",1,"94.7","94.3","94.6",17000,90,77.2,78.6,84.3,82.5,17000,110,100.0,100.0,24.50,24.50,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,80,2,1,4,3,1,4,2,2,2,1,17000,120,"17110800120","0","0",1,1080,"北陸自動車道"
"17110800130","0","0",1,1080,"北陸自動車道",1,"17400610020","0","主要地方道加賀インター線","加賀IC",3,"18110800010","0","北陸自動車道","",1,4,17206,1,0,0,"","3.8",1,0,0,"17110800130",17000,90,"17110800130","主要地方道加賀インター線加賀IC～",1,0,2,20151008,14447,4972,19419,17446,10317,27763,"1.43","9.7","25.6",".57",17000,100,17382,24759,17000,110,1,"95.4",1,"92.8",1,"95.7",1,"93.0","95.6","92.9",17000,100,79.3,77.1,80.3,84.1,17000,120,100.0,100.0,25.00,25.00,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,80,2,2,5,3,1,4,2,2,2,1,17000,130,"17110800130","0","0",1,1080,"北陸自動車道"
"17300080010","0","0",3,8,"一般国道８号",3,"16300081050","0","一般国道８号","",1,"17602150070","0","一般県道森本津幡線","",1,1,17361,0,0,0,"","2.8",0,1,0,"17300080010",17000,10010,"17300080010","河北郡津幡町刈安",1,0,2,20151006,9036,3023,12059,11745,4650,16395,"1.36","9.2","25.1","1.47",17000,10010,12464,17505,17000,10010,1,"54.4",1,"59.5",1,"54.6",1,"60.4","54.5","60.1",17000,10010,57.6,61.0,57.8,61.7,17000,10010,100.0,100.0,16.00,12.50,"7.00",".00",.00,3.50,.00,.00,.00,.00,2,100.0,2.4,.0,.0,.0,.0,.0,.0,3.50,.00,.0,3,.1,.9,,,2,40,2,2,5,7,,4,2,1,2,3,17000,10010,"17300080010","0","0",3,8,"一般国道８号"
"17300080020","0","0",3,8,"一般国道８号",1,"17602150070","0","一般県道森本津幡線","",1,"17602180020","0","一般県道莇谷津幡線","",1,1,17361,0,0,0,"","2.2",0,1,0,"17300080020",17000,10010,"17300080010","河北郡津幡町刈安",1,0,2,20151006,9036,3023,12059,11745,4650,16395,"1.36","9.2","25.1","1.47",17000,10010,12464,17505,17000,10020,1,"59.2",1,"60.1",1,"56.7",1,"51.4","57.5","53.9",17000,10020,62.7,62.7,63.4,63.4,17000,10010,100.0,100.0,16.00,12.50,"7.00",".00",.00,3.50,.00,.00,.00,.00,2,100.0,2.4,.0,.0,.0,.0,.0,.0,3.50,.00,.0,3,.1,.9,,,2,40,2,2,5,7,,4,2,1,2,3,17000,10010,"17300080020","0","0",3,8,"一般国道８号"
"17300080030","0","0",3,8,"一般国道８号",1,"17602180020","0","一般県道莇谷津幡線","",1,"17400590140","0","主要地方道高松津幡線","",1,1,17361,0,0,0,"","3.2",0,1,0,"17300080030",17000,10010,"17300080010","河北郡津幡町刈安",1,0,2,20151006,9036,3023,12059,11745,4650,16395,"1.36","9.2","25.1","1.47",17000,10010,12464,17505,17000,10030,1,"53.0",1,"52.5",1,"52.4",1,"52.9","52.6","52.8",17000,10030,54.2,54.2,53.5,53.5,17000,10010,100.0,100.0,16.00,12.50,"7.00",".00",.00,3.50,.00,.00,.00,.00,2,100.0,2.4,.0,.0,.0,.0,.0,.0,3.50,.00,.0,3,.1,.9,,,2,40,2,2,5,7,,4,2,1,2,3,17000,10010,"17300080030","0","0",3,8,"一般国道８号"
"17300080040","0","0",3,8,"一般国道８号",1,"17400590140","0","主要地方道高松津幡線","",1,"17301590370","0","一般国道１５９号","",1,1,17361,0,0,0,"","1.2",0,1,0,"17300080040",17000,10010,"17300080010","河北郡津幡町刈安",1,0,2,20151006,9036,3023,12059,11745,4650,16395,"1.36","9.2","25.1",".95",17000,10010,12464,17505,17000,10040,1,"64.8",1,"62.0",1,"64.0",1,"60.9","64.3","61.3",17000,10040,65.9,59.9,66.6,61.4,17000,10020,100.0,100.0,50.00,11.20,"7.00",".00",.00,.00,.00,.00,.00,.00,2,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,.0,3,.0,.0,,,2,50,2,2,4,6,,4,2,1,2,1,17000,10020,"17300080040","0","0",3,8,"一般国道８号"
"17300080050","0","0",3,8,"一般国道８号",1,"17301590370","0","一般国道１５９号","",1,"17602170010","0","一般県道川尻津幡線","",1,1,17361,0,0,0,"","1.1",2,1,0,"17300080050",17000,10020,"17300080050","河北郡津幡町舟橋",1,0,1,20151006,37867,4868,42735,50201,5782,55983,"1.31","11.0","11.4",".76",17000,10020,38217,50829,17000,10050,1,"68.1",1,"66.1",1,"69.8",1,"69.3","69.1","68.0",17000,10050,65.1,63.3,67.1,61.3,17000,10030,100.0,100.0,48.00,20.70,"14.00","1.60",2.40,1.30,.00,.00,.00,.00,4,76.0,.0,.0,.0,76.0,.0,.0,.0,2.40,.00,56.0,3,.0,.0,,,2,60,2,2,4,3,1,4,2,1,2,3,17000,10030,"17300080050","0","0",3,8,"一般国道８号"
"17300080060","0","0",3,8,"一般国道８号",1,"17602170010","0","一般県道川尻津幡線","",2,"17602160010","0","一般県道南中条津幡停車場線","",1,1,17361,0,0,0,"","1.4",2,1,0,"17300080060",17000,10020,"17300080050","河北郡津幡町舟橋",1,0,1,20151006,37867,4868,42735,50201,5782,55983,"1.31","11.0","11.4",".76",17000,10020,38217,50829,17000,10060,1,"67.3",1,"68.3",1,"69.0",1,"71.2","68.3","70.0",17000,10060,65.5,69.9,69.2,71.9,17000,10030,100.0,100.0,48.00,20.70,"14.00","1.60",2.40,1.30,.00,.00,.00,.00,4,76.0,.0,.0,.0,76.0,.0,.0,.0,2.40,.00,56.0,3,.0,.0,,,2,60,2,2,4,3,1,4,2,1,2,3,17000,10030,"17300080060","0","0",3,8,"一般国道８号"
"17300080070","0","0",3,8,"一般国道８号",2,"17602160010","0","一般県道南中条津幡停車場線","",6,"","","津幡町・金沢市境","",1,1,17361,0,0,0,"","1.6",2,1,0,"17300080070",17000,10030,"","",2,0,0,,43952,3615,47567,57681,4632,62313,"1.31","11.4","7.6",".78",17000,10030,42538,56576,17000,10070,1,"65.6",1,"69.7",1,"67.4",1,"70.4","66.6","70.1",17000,10070,65.1,68.8,68.9,69.1,17000,10040,100.0,100.0,48.00,22.00,"13.40","2.90",3.50,3.50,.00,.00,.00,.00,4,100.0,.0,.0,.0,100.0,.0,.0,.0,3.50,.00,37.5,3,.0,.0,,,2,60,2,2,4,3,1,4,2,1,2,1,17000,10030,"17300080070","0","0",3,8,"一般国道８号"
"17300080080","0","0",3,8,"一般国道８号",6,"","","津幡町・金沢市境","",2,"17301590390","0","一般国道１５９号","",1,1,17201,0,0,0,"","2.1",2,1,0,"17300080080",17000,10030,"","",2,0,0,,43952,3615,47567,57681,4632,62313,"1.31","11.4","7.6",".78",17000,10030,42538,56576,17000,10070,1,"65.0",1,"57.5",1,"68.4",1,"69.9","66.9","64.5",17000,10070,65.1,68.8,68.9,69.1,17000,10050,100.0,100.0,47.90,22.20,"13.40","2.90",3.50,3.50,.00,.00,.00,.00,4,100.0,.0,.0,.0,100.0,.0,.0,.0,3.50,.00,.0,3,.0,.0,,,2,60,2,2,4,3,1,4,2,1,2,1,17000,10040,"17300080080","0","0",3,8,"一般国道８号"
"17300080090","0","0",3,8,"一般国道８号",2,"17301590390","0","一般国道１５９号","",2,"17300080720","0","一般国道８号","",1,1,17201,0,0,0,"",".8",0,1,0,"17300080090",17000,10040,"17300080090","金沢市二日市町",2,1,1,20131008,24202,3680,27882,31487,4759,36246,"1.30","10.1","13.2",".51",17000,10040,27708,39068,17000,10080,1,"63.5",1,"46.6",1,"68.2",1,"71.6","66.3","59.5",17000,10080,69.5,52.2,70.2,70.5,17000,10050,100.0,100.0,47.90,22.20,"13.40","2.90",3.50,3.50,.00,.00,.00,.00,4,100.0,.0,.0,.0,100.0,.0,.0,.0,3.50,.00,.0,3,.0,.0,,,2,60,2,2,4,3,1,4,2,1,2,1,17000,10040,"17300080090","0","0",3,8,"一般国道８号"
"17300080100","0","0",3,8,"一般国道８号",2,"17300080720","0","一般国道８号","",1,"17602050010","0","一般県道八田南森本線","",1,1,17201,0,0,0,"",".5",0,1,0,"17300080100",17000,10040,"17300080090","金沢市二日市町",2,1,1,20131008,24202,3680,27882,31487,4759,36246,"1.30","10.1","13.2",".56",17000,10040,27708,39068,17000,10090,1,"62.8",1,"23.0",1,"65.3",1,"65.9","64.3","38.6",17000,10090,61.4,31.2,63.6,61.8,17000,10060,100.0,100.0,28.00,19.30,"14.00","3.20",3.00,5.70,.00,.00,.00,.00,4,100.0,40.0,.0,.0,100.0,.0,.0,.0,5.70,.00,.0,3,.0,6.0,,,2,50,2,2,4,5,1,4,2,1,2,2,17000,10040,"17300080100","0","0",3,8,"一般国道８号"
